		DROP	Slider_1	Checkbox_1	DROP	Slider_2	DROP		DROP	Latitude	Longitude	DROP	DROP	Category_color
United States	Limerick nuclear power plant	1	1194	operating	BWR-4 (Mark 2)	1986	NA	Exelon	Exelon Generation CO LLC	40.2243	-75.5874	NA	Pennsylvania	boiling water reactor
United States	Limerick nuclear power plant	2	1194	operating	BWR-4 (Mark 2)	1990	NA	Exelon	Exelon Generation CO LLC	40.2243	-75.5874	NA	Pennsylvania	boiling water reactor
United States	Hope Creek nuclear power plant	1	1240	operating	BWR-4 (Mark 1)	1986	NA	PSEG Power INC	PSEG Nuclear LLC	39.4666	-75.5377	NA	New Jersey	boiling water reactor
United States	Salem nuclear power plant	1	1254	operating	WH 4LP (DRYAMB)	1977	2036	PSEG Power INC	PSEG Nuclear LLC	39.4625	-75.5358	NA	New Jersey	pressurized water reactor
United States	Salem nuclear power plant	2	1200	operating	WH 4LP (DRYAMB)	1981	2040	PSEG Power INC	PSEG Nuclear LLC	39.4625	-75.5358	NA	New Jersey	pressurized water reactor
United States	Oyster Creek nuclear power plant	NA	652	retired	BWR-2 (Mark 1)	1969	2018	Exelon	Exelon Generation CO LLC	39.8144	-74.2058	NA	New Jersey	boiling water reactor
United States	Indian Point nuclear power plant	1	277	retired	unknown	1962	1974	Entergy Nuclear Operations INC	Entergy Nuclear Operations INC	41.2706	-73.9527	NA	New York	pressurized water reactor
United States	Indian Point nuclear power plant	2	1067	retired	WH 4LP (DRYAMB)	1974	2020	Entergy Nuclear Operations INC	Entergy Nuclear Operations INC	41.2706	-73.9527	NA	New York	pressurized water reactor
United States	Indian Point nuclear power plant	3	1085	retired	WH 4LP (DRYAMB)	1976	2021	Entergy Nuclear Operations INC	Entergy Nuclear Operations INC	41.2706	-73.9527	NA	New York	pressurized water reactor
United States	Yankee Rowe nuclear power plant	NA	180	retired	unknown	1961	1991	Yankee Atomic Electric CO	Yankee Atomic Electric CO	42.7269	-72.9271	NA	Massachusetts	pressurized water reactor
United States	Shoreham nuclear power plant	NA	849	retired	BWR	1986	1989	Long Island Lighting CO	Long Island Power Authority	40.96001	-72.8657	NA	New York	boiling water reactor
United States	Vermont Yankee nuclear power plant	NA	635	retired	BWR-4 (Mark 1)	1972	2014	Entergy Nuclear Operations INC	Entergy Nuclear Operations INC	42.77901	-72.51301	NA	Vermont	boiling water reactor
United States	Connecticut Yankee nuclear power plant	NA	603	retired	unknown	1968	1996	Connecticut Yankee Atomic Power CO	Connecticut Yankee Atomic Power CO	41.4829	-72.5003	NA	Connecticut	pressurized water reactor
Canada	Gentilly nuclear power plant	1	266	retired	HW BLWR 250	1972	1977	Canadian Nuclear Laboratories LTD	Hydro Quebec	46.3953	-72.3579	NA	Quebec	other
Canada	Gentilly nuclear power plant	2	675	retired	CANDU 6	1983	2012	Hydro Quebec	Hydro Quebec	46.3955	-72.3556	NA	Quebec	pressurized heavy water reactor
United States	Millstone nuclear power plant	1	684	retired	unknown	1971	1998	NA	Dominion Energy	41.3107	-72.1677	NA	Connecticut	boiling water reactor
United States	Millstone nuclear power plant	2	918	operating	CE 2LP (DRYAMB)	1975	NA	Dominion Resources INC	Dominion Energy	41.3107	-72.1677	NA	Connecticut	pressurized water reactor
United States	Millstone nuclear power plant	3	1280	operating	WH 4LP (DRYSUB)	1986	NA	Dominion Resources INC	Dominion Energy	41.3107	-72.1677	NA	Connecticut	pressurized water reactor
United States	Seabrook nuclear power plant	1	1296	operating	WH 4LP (DRYAMB)	1990	NA	Nextera Energy Resources LLC	Nextera Energy Resources LLC	42.8992	-70.8489	NA	New Hampshire	pressurized water reactor
United States	Pilgrim nuclear power plant	1	711	retired	BWR-3 (Mark 1)	1972	2019	Entergy Nuclear Operations INC	Entergy Nuclear Operations INC	41.9436	-70.5771	NA	Massachusetts	boiling water reactor
United States	Maine Yankee nuclear power plant	NA	900	retired	unknown	1972	1997	NA	Maine Yankee Atomic Power CO	43.9511	-69.6953	NA	Maine	pressurized water reactor
Puerto Rico	Boiling Nuclear Superheater (BONUS) nuclear power plant	NA	18	retired	Superheater	1965	1968	US DOE and Puerto Rico Electric Power Authority	US Department of Energy; Puerto Rico Water Resources	18.3652	-67.2687	NA	Puerto Rico	boiling water reactor
Canada	Point Lepreau nuclear power plant	NA	705	operating	CANDU 6	1983	NA	New Brunswick Electric Power Commission	New Brunswick Electric Power Commission	45.0686	-66.4543	NA	New Brunswick	pressurized heavy water reactor
Argentina	Embalse nuclear power plant	NA	656	operating	CANDU 6	1984	NA	Nucleoelectrica Argentina SA	Nucleoelectrica Argentina SA	-32.2316	-64.4422	Departamento Calamuchita	Córdoba	pressurized heavy water reactor
Argentina	Atucha nuclear power plant	1	362	operating	PHWR KWU	1974	NA	Nucleoelectrica Argentina SA	Nucleoelectrica Argentina SA	-33.96701	-59.2095	Partido de Zárate	Buenos Aires	pressurized heavy water reactor
Argentina	Atucha nuclear power plant	2	745	mothballed	PHWR KWU	2016	NA	Nucleoelectrica Argentina SA	Nucleoelectrica Argentina SA	-33.9672	-59.2073	Partido de Zárate	Buenos Aires	pressurized heavy water reactor
Brazil	Angra nuclear power plant	2	1350	operating	PRE KONVOI	2001	NA	Eletrobras Eletronuclear SA	Eletrobras Eletronuclear SA	-23.0077	-44.4598	Região Geográfica Intermediária do Rio de Janeiro	Rio de Janeiro	pressurized water reactor
Brazil	Angra nuclear power plant	1	640	operating	WH 2LP	1985	NA	Eletrobras Eletronuclear SA	Eletrobras Eletronuclear SA	-23.0069	-44.4585	Região Geográfica Intermediária do Rio de Janeiro	Rio de Janeiro	pressurized water reactor
Spain	Almaraz nuclear power plant	1	1049	operating	WH 3LP	1983	NA	Iberdrola; Endesa; Gas Natural	Centrales Nucleares Almaraz-Trillo	39.807	-5.6986	Cáceres	Extremadura	pressurized water reactor
Spain	Almaraz nuclear power plant	2	1044	operating	WH 3LP	1984	NA	Iberdrola; Endesa; Gas Natural	Centrales Nucleares Almaraz-Trillo	39.807	-5.6986	Cáceres	Extremadura	pressurized water reactor
United Kingdom	Hunterston nuclear power plant	A1	173	retired	MAGNOX	1964	1990	Nuclear Decommissioning Authority	Magnox LTD	55.72001	-4.8975	NA	Scotland	other
United Kingdom	Hunterston nuclear power plant	A2	173	retired	MAGNOX	1964	1989	Nuclear Decommissioning Authority	Magnox LTD	55.72001	-4.8975	NA	Scotland	other
United Kingdom	Hunterston nuclear power plant	B1	644	retired	AGR	1976	2021	EDF Energy	EDF Energy	55.7229	-4.8913	NA	Scotland	other
United Kingdom	Hunterston nuclear power plant	B2	644	retired	AGR	1977	2022	EDF Energy	EDF Energy	55.7229	-4.8913	NA	Scotland	other
United Kingdom	Wylfa nuclear power plant	1	530	retired	MAGNOX	1971	2015	Nuclear Decommissioning Authority	Magnox LTD	53.4161	-4.4808	NA	Wales	other
United Kingdom	Wylfa nuclear power plant	2	540	retired	MAGNOX	1972	2012	Nuclear Decommissioning Authority	Magnox LTD	53.4161	-4.4808	NA	Wales	other
United Kingdom	Trawsfynydd nuclear power plant	1	235	retired	MAGNOX	1965	1991	Nuclear Decommissioning Authority	Magnox LTD	52.9252	-3.9474	NA	Wales	other
United Kingdom	Trawsfynydd nuclear power plant	2	235	retired	MAGNOX	1965	1991	Nuclear Decommissioning Authority	Magnox LTD	52.9252	-3.9474	NA	Wales	other
France	Brennilis nuclear power plant	NA	75	retired	MONTS-D'ARREE	1968	1985	Electricité De France (EDF)	Electricité De France (EDF)	48.3551	-3.8719	NA	Brittany	other
United Kingdom	Dounreay nuclear power plant	DFR	15	retired	unknown	1962	1977	United Kingdom Atomic Energy Authority	United Kingdom Atomic Energy Authority	58.5805	-3.7374	NA	Scotland	other
United Kingdom	Dounreay nuclear power plant	PFR	250	retired	unknown	1976	1994	United Kingdom Atomic Energy Authority	United Kingdom Atomic Energy Authority	58.5805	-3.7374	NA	Scotland	other
United Kingdom	Windscale AGR nuclear power plant	NA	36	retired	AGR	1963	1981	United Kingdom Atomic Energy Authority	United Kingdom Atomic Energy Authority	54.4245	-3.4952	NA	England	other
United Kingdom	Calder Hall nuclear power plant	1	60	retired	MAGNOX	1956	2003	Nuclear Decommissioning Authority	Sellafield LTD	54.4184	-3.4921	NA	England	other
United Kingdom	Calder Hall nuclear power plant	4	60	retired	MAGNOX	1959	2003	Nuclear Decommissioning Authority	Sellafield LTD	54.4184	-3.4921	NA	England	other
United Kingdom	Chapelcross nuclear power plant	1	60	retired	MAGNOX	1959	2004	Nuclear Decommissioning Authority	Magnox LTD	55.0169	-3.22401	NA	Scotland	other
United Kingdom	Chapelcross nuclear power plant	2	60	retired	MAGNOX	1959	2004	Nuclear Decommissioning Authority	Magnox LTD	55.0169	-3.22401	NA	Scotland	other
United Kingdom	Chapelcross nuclear power plant	3	60	retired	MAGNOX	1959	2004	Nuclear Decommissioning Authority	Magnox LTD	55.0169	-3.22401	NA	Scotland	other
Spain	Santa Maria De Garona nuclear power plant	NA	466	retired	BWR-3	1971	2017	Nuclenor SA	Nuclenor SA	42.77501	-3.20701	Burgos	Castile and León	boiling water reactor
United Kingdom	Hinkley Point nuclear power plant	B2	655	retired	AGR	1976	2022	EDF Energy	EDF Energy	51.2085	-3.1334	NA	England	other
United Kingdom	Hinkley Point nuclear power plant	B1	655	retired	AGR	1978	2022	EDF Energy	EDF Energy	51.2085	-3.1334	NA	England	other
United Kingdom	Hinkley Point nuclear power plant	A1	267	retired	MAGNOX	1965	2000	Nuclear Decommissioning Authority	Magnox LTD	51.207	-3.1316	NA	England	other
United Kingdom	Hinkley Point nuclear power plant	A2	267	retired	MAGNOX	1965	2000	Nuclear Decommissioning Authority	Magnox LTD	51.207	-3.1316	NA	England	other
United Kingdom	Heysham nuclear power plant	A1	625	operating	AGR	1989	NA	EDF Energy	EDF Energy	54.0295	-2.9149	NA	England	other
United Kingdom	Heysham nuclear power plant	A2	625	operating	AGR	1989	NA	EDF Energy	EDF Energy	54.0295	-2.9149	NA	England	other
United Kingdom	Heysham nuclear power plant	B1	680	operating	AGR	1989	NA	EDF Energy	EDF Energy	54.03101	-2.9112	NA	England	other
United Kingdom	Heysham nuclear power plant	B2	680	operating	AGR	1989	NA	EDF Energy	EDF Energy	54.03101	-2.9112	NA	England	other
Spain	Jose Cabrera nuclear power plant	1	150	retired	WH 1LP	1969	2006	Union Fenosa Generation SA	Union Fenosa Generation SA	40.3478	-2.8889	Guadalajara	Castile-La Mancha	pressurized water reactor
Spain	Trillo nuclear power plant	1	1066	operating	PWR 3 Loop	1988	NA	Iberdrola; Gas Natural; Hidroeléctrica del Cantábrico; Nuclenor	Centrales Nucleares Almaraz-Trillo	40.7016	-2.6227	Guadalajara	Castile-La Mancha	pressurized water reactor
United Kingdom	Oldbury nuclear power plant	A1	230	retired	MAGNOX	1967	2012	Nuclear Decommissioning Authority	Magnox LTD	51.6485	-2.5708	West of England	England	other
United Kingdom	Oldbury nuclear power plant	A2	230	retired	MAGNOX	1968	2011	Nuclear Decommissioning Authority	Magnox LTD	51.6485	-2.5708	West of England	England	other
United Kingdom	Berkeley nuclear power plant	1	166	retired	MAGNOX	1962	1989	Nuclear Decommissioning Authority	Magnox LTD	51.6927	-2.4938	NA	England	other
United Kingdom	Berkeley nuclear power plant	2	166	retired	MAGNOX	1962	1988	Nuclear Decommissioning Authority	Magnox LTD	51.6927	-2.4938	NA	England	other
United Kingdom	Torness nuclear power plant	1	682	operating	AGR	1988	NA	EDF Energy	EDF Energy	55.9679	-2.4086	NA	Scotland	other
United Kingdom	Torness nuclear power plant	2	682	operating	AGR	1989	NA	EDF Energy	EDF Energy	55.9679	-2.4086	NA	Scotland	other
United Kingdom	Winfrith SGHWR nuclear power plant	NA	100	retired	unknown	1968	1990	United Kingdom Atomic Energy Authority	United Kingdom Atomic Energy Authority	50.6825	-2.2649	NA	England	other
France	Flamanville nuclear power plant	1	1382	operating	P4 REP 1300	1986	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.5366	-1.8823	NA	Normandy	pressurized water reactor
France	Flamanville nuclear power plant	2	1382	operating	P4 REP 1300	1987	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.5366	-1.8823	NA	Normandy	pressurized water reactor
United Kingdom	Hartlepool nuclear power plant	A1	655	operating	AGR	1989	NA	EDF Energy	EDF Energy	54.6341	-1.1801	Tees Valley	England	other
United Kingdom	Hartlepool nuclear power plant	A2	655	operating	AGR	1989	NA	EDF Energy	EDF Energy	54.6341	-1.1801	Tees Valley	England	other
Spain	Cofrentes nuclear power plant	NA	1102	operating	BWR-6 (Mark 3)	1985	NA	Iberdrola SA	Iberdrola SA	39.2134	-1.0509	Valencia	Valencian Community	boiling water reactor
France	Blayais nuclear power plant	1	951	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.256	-0.6932	NA	Nouvelle-Aquitaine	pressurized water reactor
France	Blayais nuclear power plant	2	951	operating	CP1	1983	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.256	-0.6932	NA	Nouvelle-Aquitaine	pressurized water reactor
France	Blayais nuclear power plant	3	951	operating	CP1	1983	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.256	-0.6932	NA	Nouvelle-Aquitaine	pressurized water reactor
France	Blayais nuclear power plant	4	951	operating	CP1	1983	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.256	-0.6932	NA	Nouvelle-Aquitaine	pressurized water reactor
France	Chinon nuclear power plant	A-1	80	retired	Uranium Naturel Graphite Gaz	1964	1973	Electricité De France (EDF)	Electricité De France (EDF)	47.2254	0.1656	NA	Centre-Val de Loire	other
France	Chinon nuclear power plant	A-2	230	retired	Uranium Naturel Graphite Gaz	1965	1985	Electricité De France (EDF)	Electricité De France (EDF)	47.2254	0.1656	NA	Centre-Val de Loire	other
France	Chinon nuclear power plant	A-3	480	retired	Uranium Naturel Graphite Gaz	1966	1990	Electricité De France (EDF)	Electricité De France (EDF)	47.2254	0.1656	NA	Centre-Val de Loire	other
France	Chinon nuclear power plant	B-1	954	operating	CP2	1984	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.2254	0.1656	NA	Centre-Val de Loire	pressurized water reactor
France	Chinon nuclear power plant	B-2	954	operating	CP2	1984	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.2254	0.1656	NA	Centre-Val de Loire	pressurized water reactor
France	Chinon nuclear power plant	B-3	954	operating	CP2	1987	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.2254	0.1656	NA	Centre-Val de Loire	pressurized water reactor
France	Chinon nuclear power plant	B-4	954	operating	CP2	1988	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.2254	0.1656	NA	Centre-Val de Loire	pressurized water reactor
Spain	Ascó nuclear power plant	1	1033	operating	WH 3LP	1984	NA	Endesa SA	Asociación Nuclear Ascó-Vandellós AIE	41.1993	0.5694	Tarragona	Catalonia	pressurized water reactor
Spain	Ascó nuclear power plant	2	1027	operating	WH 3LP	1986	NA	Endesa; Iberdrola	Asociación Nuclear Ascó-Vandellós AIE	41.1993	0.5694	Tarragona	Catalonia	pressurized water reactor
France	Paluel nuclear power plant	1	1382	operating	P4 REP 1300	1985	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.8582	0.6354	NA	Normandy	pressurized water reactor
France	Paluel nuclear power plant	2	1382	operating	P4 REP 1300	1985	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.8582	0.6354	NA	Normandy	pressurized water reactor
France	Paluel nuclear power plant	3	1382	operating	P4 REP 1300	1986	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.8582	0.6354	NA	Normandy	pressurized water reactor
France	Paluel nuclear power plant	4	1382	operating	P4 REP 1300	1986	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.8582	0.6354	NA	Normandy	pressurized water reactor
France	Civaux nuclear power plant	1	1561	operating	N4 REP 1450	2002	NA	Electricité De France (EDF)	Electricité De France (EDF)	46.4555	0.6582	NA	Nouvelle-Aquitaine	pressurized water reactor
France	Civaux nuclear power plant	2	1561	operating	N4 REP 1450	2002	NA	Electricité De France (EDF)	Electricité De France (EDF)	46.4555	0.6582	NA	Nouvelle-Aquitaine	pressurized water reactor
France	Golfech nuclear power plant	1	1363	operating	P4 REP 1300	1991	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.106	0.8443	NA	Occitania	pressurized water reactor
France	Golfech nuclear power plant	2	1363	operating	P4 REP 1300	1994	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.106	0.8443	NA	Occitania	pressurized water reactor
Spain	Vandellos nuclear power plant	1	500	retired	unknown	1972	1990	Hispano-Francesa De Energia Nuclear SA	Hispano-Francesa De Energia Nuclear SA	40.9511	0.8662	Tarragona	Catalonia	other
Spain	Vandellos nuclear power plant	2	1087	operating	WH 3LP	1988	NA	Endesa; Iberdrola	Asociación Nuclear Ascó-Vandellós AIE	40.9511	0.8662	Tarragona	Catalonia	pressurized water reactor
United Kingdom	Bradwell nuclear power plant	1	146	retired	MAGNOX	1962	2002	Nuclear Decommissioning Authority	Magnox LTD	51.7417	0.8994	NA	England	other
United Kingdom	Bradwell nuclear power plant	2	146	retired	MAGNOX	1962	2002	Nuclear Decommissioning Authority	Magnox LTD	51.7417	0.8994	NA	England	other
United Kingdom	Dungeness nuclear power plant	B1	615	retired	AGR	1985	2021	EDF Energy	EDF Energy	50.9138	0.9597	NA	England	other
United Kingdom	Dungeness nuclear power plant	B2	615	retired	AGR	1989	2021	EDF Energy	EDF Energy	50.9138	0.9597	NA	England	other
United Kingdom	Dungeness nuclear power plant	A1	230	retired	MAGNOX	1965	2006	Nuclear Decommissioning Authority	Magnox LTD	50.9139	0.96201	NA	England	other
United Kingdom	Dungeness nuclear power plant	A2	230	retired	MAGNOX	1965	2006	Nuclear Decommissioning Authority	Magnox LTD	50.9139	0.96201	NA	England	other
France	Penly nuclear power plant	1	1382	operating	P4 REP 1300	1990	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.9764	1.2107	NA	Normandy	pressurized water reactor
France	Penly nuclear power plant	2	1382	operating	P4 REP 1300	1992	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.9764	1.2107	NA	Normandy	pressurized water reactor
France	Saint-Laurent nuclear power plant	A-1	500	retired	Uranium Naturel Graphite Gaz	1969	1990	Electricité De France (EDF)	Electricité De France (EDF)	47.7197	1.5783	NA	Centre-Val de Loire	other
France	Saint-Laurent nuclear power plant	A-2	530	retired	Uranium Naturel Graphite Gaz	1971	1992	Electricité De France (EDF)	Electricité De France (EDF)	47.7197	1.5783	NA	Centre-Val de Loire	other
France	Saint-Laurent nuclear power plant	B-1	956	operating	CP2	1983	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.7197	1.5783	NA	Centre-Val de Loire	pressurized water reactor
France	Saint-Laurent nuclear power plant	B-2	956	operating	CP2	1983	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.7197	1.5783	NA	Centre-Val de Loire	pressurized water reactor
United Kingdom	Sizewell nuclear power plant	A1	245	retired	MAGNOX	1966	2006	Nuclear Decommissioning Authority	Magnox LTD	52.2123	1.6195	NA	England	other
United Kingdom	Sizewell nuclear power plant	A2	245	retired	MAGNOX	1966	2006	Nuclear Decommissioning Authority	Magnox LTD	52.2123	1.6195	NA	England	other
United Kingdom	Sizewell nuclear power plant	B	1250	operating	SNUPPS	1995	NA	EDF Energy	EDF Energy	52.2145	1.6206	NA	England	pressurized water reactor
France	Gravelines nuclear power plant	1	951	operating	CP1	1980	NA	Electricité De France (EDF)	Electricité De France (EDF)	51.0141	2.1332	NA	Hauts-de-France	pressurized water reactor
France	Gravelines nuclear power plant	2	951	operating	CP1	1980	NA	Electricité De France (EDF)	Electricité De France (EDF)	51.0141	2.1332	NA	Hauts-de-France	pressurized water reactor
France	Gravelines nuclear power plant	3	951	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	51.0141	2.1332	NA	Hauts-de-France	pressurized water reactor
France	Gravelines nuclear power plant	4	951	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	51.0141	2.1332	NA	Hauts-de-France	pressurized water reactor
France	Gravelines nuclear power plant	5	951	operating	CP1	1985	NA	Electricité De France (EDF)	Electricité De France (EDF)	51.0141	2.1332	NA	Hauts-de-France	pressurized water reactor
France	Gravelines nuclear power plant	6	951	operating	CP1	1985	NA	Electricité De France (EDF)	Electricité De France (EDF)	51.0141	2.1332	NA	Hauts-de-France	pressurized water reactor
France	Dampierre nuclear power plant	1	937	operating	CP1	1980	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.7321	2.5185	NA	Centre-Val de Loire	pressurized water reactor
France	Dampierre nuclear power plant	2	937	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.7321	2.5185	NA	Centre-Val de Loire	pressurized water reactor
France	Dampierre nuclear power plant	3	937	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.7321	2.5185	NA	Centre-Val de Loire	pressurized water reactor
France	Dampierre nuclear power plant	4	937	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.7321	2.5185	NA	Centre-Val de Loire	pressurized water reactor
France	Belleville nuclear power plant	1	1363	operating	P4 REP 1300	1988	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.5103	2.87501	NA	Bourgogne-Franche-Comté	pressurized water reactor
France	Belleville nuclear power plant	2	1363	operating	P4 REP 1300	1989	NA	Electricité De France (EDF)	Electricité De France (EDF)	47.5103	2.87501	NA	Bourgogne-Franche-Comté	pressurized water reactor
France	Nogent nuclear power plant	1	1363	operating	P4 REP 1300	1988	NA	Electricité De France (EDF)	Electricité De France (EDF)	48.5171	3.5181	NA	Grand Est	pressurized water reactor
France	Nogent nuclear power plant	2	1363	operating	P4 REP 1300	1989	NA	Electricité De France (EDF)	Electricité De France (EDF)	48.5171	3.5181	NA	Grand Est	pressurized water reactor
Netherlands	Borssele nuclear power plant	1	515	operating	KWU 2LP	1973	2033	N.V. Elektriciteits-Produktiemaatschappij Zuid-Nederland	N.V. Elektriciteits-Produktiemaatschappij Zuid-Nederland	51.4312	3.7174	NA	Zeeland	pressurized water reactor
Belgium	Doel nuclear power plant	1	454	operating	WH 2LP	1975	NA	Indivision Doel	Engie Electrabel; EDF Belgium; EDF Luminus	51.3254	4.2597	NA	East Flanders	pressurized water reactor
Belgium	Doel nuclear power plant	2	454	operating	WH 2LP	1975	NA	Indivision Doel	Engie Electrabel; EDF Belgium; EDF Luminus	51.3254	4.2597	NA	East Flanders	pressurized water reactor
Belgium	Doel nuclear power plant	3	1056	retired	WH 3LP	1982	2022	Societes Reunies D'Energie Du Bassin De L'Escaut SA	Engie Electrabel; EDF Belgium; EDF Luminus	51.3254	4.2597	NA	East Flanders	pressurized water reactor
Belgium	Doel nuclear power plant	4	1090	operating	WH 3LP	1985	NA	Societes Reunies D'Energie Du Bassin De L'Escaut SA	Engie Electrabel; EDF Belgium; EDF Luminus	51.3254	4.2597	NA	East Flanders	pressurized water reactor
France	Marcoule nuclear power plant	G1	7	retired	unknown	1956	1968	Commissariat À L'Energie Atomique	NA	44.1433	4.7094	NA	Occitania	other
France	Marcoule nuclear power plant	G2	43	retired	unknown	1959	1980	Commissariat À L'Energie Atomique [80%]; Electricité De France (EDF) [20%]	Compagnie Generale Des Matieres Nucleaires	44.1433	4.7094	NA	Occitania	other
France	Marcoule nuclear power plant	G3	43	retired	unknown	1960	1984	Commissariat À L'Energie Atomique	Compagnie Generale Des Matieres Nucleaires	44.1433	4.7094	NA	Occitania	other
France	Phenix nuclear power plant	NA	142	retired	PH-250	1974	2010	Commissariat À L'Energie Atomique	Commissariat À L'Energie Atomique [80%]; Electricité De France (EDF) [20%]	44.1526	4.7139	NA	Occitania	other
France	Tricastin nuclear power plant	1	955	operating	CP1	1980	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.3311	4.7311	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Tricastin nuclear power plant	2	955	operating	CP1	1980	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.3311	4.7311	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Tricastin nuclear power plant	3	955	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.3311	4.7311	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Tricastin nuclear power plant	4	955	operating	CP1	1981	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.3311	4.7311	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Cruas nuclear power plant	1	956	operating	CP2	1984	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.6325	4.7546	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Cruas nuclear power plant	3	956	operating	CP2	1984	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.6325	4.7546	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Cruas nuclear power plant	4	956	operating	CP2	1985	NA	Electricité De France (EDF)	Electricité De France (EDF)	44.6325	4.7546	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	St. Alban nuclear power plant	1	1381	operating	P4 REP 1300	1986	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.4043	4.7554	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	St. Alban nuclear power plant	2	1381	operating	P4 REP 1300	1987	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.4043	4.7554	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Chooz nuclear power plant	A	320	retired	CHOOZ-A	1967	1991	Electricité De France (EDF)	Societe D'Energie Nucleaire Franco-Belge Des Ardennes	50.0901	4.7872	NA	Grand Est	pressurized water reactor
France	Chooz nuclear power plant	B-1	1560	operating	N4 REP 1450	2000	NA	Electricité De France (EDF)	Electricité De France (EDF)	50.0901	4.7872	NA	Grand Est	pressurized water reactor
France	Chooz nuclear power plant	B-2	1560	operating	N4 REP 1450	2000	NA	Electricité De France (EDF)	Electricité De France (EDF)	50.0901	4.7872	NA	Grand Est	pressurized water reactor
Belgium	BR3 nuclear power plant	3	12	retired	Prototype	1962	1987	Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie	Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie	51.2169	5.0998	NA	Antwerp	pressurized water reactor
France	Bugey nuclear power plant	1	555	retired	Uranium Naturel Graphite Gaz	1972	1994	Electricité De France (EDF)	Electricité De France (EDF)	45.7973	5.2706	NA	Auvergne-Rhône-Alpes	other
France	Bugey nuclear power plant	2	945	operating	CP0	1979	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.7973	5.2706	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Bugey nuclear power plant	3	945	operating	CP0	1979	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.7973	5.2706	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Bugey nuclear power plant	4	917	operating	CP0	1979	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.7973	5.2706	NA	Auvergne-Rhône-Alpes	pressurized water reactor
France	Bugey nuclear power plant	5	917	operating	CP0	1980	NA	Electricité De France (EDF)	Electricité De France (EDF)	45.7973	5.2706	NA	Auvergne-Rhône-Alpes	pressurized water reactor
Belgium	Tihange nuclear power plant	1	1009	operating	Framatome 3 loops reactor	1975	NA	Engie Electrabel	Engie Electrabel	50.5334	5.2714	NA	Liège	pressurized water reactor
Belgium	Tihange nuclear power plant	2	1055	retired	WH 3LP	1983	2023	Engie Electrabel	Engie Electrabel	50.5334	5.2714	NA	Liège	pressurized water reactor
Belgium	Tihange nuclear power plant	3	1089	operating	WH 3LP	1985	NA	Engie Electrabel	Engie Electrabel	50.5334	5.2714	NA	Liège	pressurized water reactor
